personID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate,award,year_x,playerScore,postPlayerScore,year_y,tmID,lgID,dq,PostDQ,threeAccuracy,postThreeAccuracy,year,won,lost,post_wins,post_losses
abrahta01w,C,0.0,0.0,74.0,190.0,George Washington,,1975-09-27 00:00:00,0000-00-00,,0.0,,,,,,,,,,0.0,,,,
abrossv01w,F,0.0,0.0,74.0,169.0,Connecticut,,1980-07-09 00:00:00,0000-00-00,,0.0,0.4251707975262301,,2.0,MIN,WNBA,2.0,0.0,0.25,,0.0,,,,
abrossv01w,F,0.0,0.0,74.0,169.0,Connecticut,,1980-07-09 00:00:00,0000-00-00,,0.0,-0.0313077044654377,,3.0,MIN,WNBA,0.0,0.0,0.3333333333333333,,0.0,,,,
abrossv01w,F,0.0,0.0,74.0,169.0,Connecticut,,1980-07-09 00:00:00,0000-00-00,,0.0,0.4398062461150427,-0.2996108762763155,4.0,MIN,WNBA,0.0,0.0,0.3048780487804878,0.4285714285714285,0.0,,,,
abrossv01w,F,0.0,0.0,74.0,169.0,Connecticut,,1980-07-09 00:00:00,0000-00-00,,0.0,0.0934196852306213,-0.2392208675113282,5.0,MIN,WNBA,0.0,0.0,0.3773584905660377,0.25,0.0,,,,
abrossv01w,F,0.0,0.0,74.0,169.0,Connecticut,,1980-07-09 00:00:00,0000-00-00,,0.0,0.2115150552583475,,6.0,MIN,WNBA,0.0,0.0,0.4024390243902439,,0.0,,,,
abrossv01w,F,0.0,0.0,74.0,169.0,Connecticut,,1980-07-09 00:00:00,0000-00-00,,0.0,0.2277886943732646,,7.0,MIN,WNBA,0.0,0.0,0.3692307692307692,,0.0,,,,
abrossv01w,F,0.0,0.0,74.0,169.0,Connecticut,,1980-07-09 00:00:00,0000-00-00,,0.0,0.808683957970615,,8.0,MIN,WNBA,0.0,0.0,0.4455445544554455,,0.0,,,,
abrossv01w,F,0.0,0.0,74.0,169.0,Connecticut,,1980-07-09 00:00:00,0000-00-00,,0.0,-0.0229663685563993,0.2766210134960222,9.0,CON,WNBA,0.0,0.0,0.1666666666666666,0.0,0.0,,,,
adairje01w,C,0.0,0.0,76.0,197.0,George Washington,,1986-12-19 00:00:00,0000-00-00,,0.0,,,,,,,,,,0.0,,,,
adamsda01w,F-C,0.0,0.0,73.0,239.0,Texas A&M,Jefferson College (JC),1989-02-19 00:00:00,0000-00-00,,0.0,,,,,,,,,,0.0,,,,
adamsjo01w,C,0.0,0.0,75.0,180.0,New Mexico,,1981-05-24 00:00:00,0000-00-00,,0.0,0.059542249154294,,4.0,MIN,WNBA,0.0,0.0,0.4166666666666667,,0.0,,,,
aguilel01w,G,0.0,0.0,67.0,165.0,George Washington,,1976-10-15 00:00:00,0000-00-00,,0.0,0.180284700012003,0.2663471115853523,3.0,UTA,WNBA,0.0,0.0,0.5238095238095238,,0.0,,,,
ajavoma01w,G,0.0,0.0,68.0,160.0,Rutgers,,1986-05-07 00:00:00,0000-00-00,,0.0,0.1055935392911444,,9.0,HOU,WNBA,1.0,0.0,0.1911764705882352,,0.0,,,,
ajavoma01w,G,0.0,0.0,68.0,160.0,Rutgers,,1986-05-07 00:00:00,0000-00-00,,0.0,0.1906679076294906,0.8882203507664699,10.0,WAS,WNBA,1.0,0.0,0.3414634146341463,0.25,0.0,,,,
alberma01w,G,0.0,0.0,64.0,0.0,Ohio State,,1975-04-12 00:00:00,0000-00-00,,0.0,,,,,,,,,,0.0,,,,
aldrima01w,G,0.0,0.0,71.0,153.0,UNC Charlotte,,1973-09-15 00:00:00,0000-00-00,,0.0,-0.4931156917264659,0.2443316074910604,1.0,WAS,WNBA,0.0,0.0,0.5,0.0,0.0,,,,
aldrima01w,G,0.0,0.0,71.0,153.0,UNC Charlotte,,1973-09-15 00:00:00,0000-00-00,,0.0,-1.5728594659152462,,2.0,WAS,WNBA,0.0,0.0,0.0,,0.0,,,,
