"bioID";"pos";"college";"collegeOther";"birthDate";"deathDate";"bmi"
"abrahta01w";"C";"George Washington";;1975-09-27 00:00:00;"0000-00-00";24.39189189189189
"abrossv01w";"F";"Connecticut";;1980-07-09 00:00:00;"0000-00-00";21.695945945945947
"adairje01w";"C";"George Washington";;1986-12-19 00:00:00;"0000-00-00";23.976973684210527
"adamsda01w";"F-C";"Texas A&M";"Jefferson College (JC)";1989-02-19 00:00:00;"0000-00-00";31.528804653781194
"adamsjo01w";"C";"New Mexico";;1981-05-24 00:00:00;"0000-00-00";22.496000000000002
"aguilel01w";"G";"George Washington";;1976-10-15 00:00:00;"0000-00-00";25.83983069725997
"ajavoma01w";"G";"Rutgers";;1986-05-07 00:00:00;"0000-00-00";24.325259515570938
"aldrima01w";"G";"UNC Charlotte";;1973-09-15 00:00:00;"0000-00-00";21.336837928982344
"alexaer01w";"G";"California-Santa Barbara";;1975-04-25 00:00:00;"0000-00-00";21.924704834038764
"alhalta01w";"F-G";"DePaul";;1974-10-17 00:00:00;"0000-00-00";20.20582561728395
"allench01w";"G";"Notre Dame";;1986-07-23 00:00:00;"0000-00-00";18.826621702043244
"amachma01w";"F";;;1978-01-30 00:00:00;"0000-00-00";23.08594483017452
"ambermo01w";"F";"Arizona State";;1970-12-21 00:00:00;"0000-00-00";20.56907894736842
"anderam01w";"F";"Brigham Young";;1984-03-14 00:00:00;"0000-00-00";22.64679783950617
"anderch01w";"C";"Vanderbilt";;1981-01-22 00:00:00;"0000-00-00";21.9543063773833
"anderjo01w";"G";"Wisconsin";;1986-07-22 00:00:00;"0000-00-00";25.237456747404845
"anderke01w";"G";"Wisconsin";;1974-05-17 00:00:00;"0000-00-00";19.575629316106035
"andrame01w";"F";"Old Dominion";;1975-12-31 00:00:00;"0000-00-00";23.01031541360841
"angelyv01w";"G";"Ohio State";;1963-10-14 00:00:00;"0000-00-00";24.325259515570938
"anosini01w";"C";"Tennessee";;1986-02-27 00:00:00;"0000-00-00";26.370311111111114
"appelja01w";"C";"Stanford";;1988-05-14 00:00:00;"0000-00-00";25.559210526315788
"arcaija01w";"G";"none";;1969-04-11 00:00:00;"0000-00-00";20.50009918666931
"artiska01w";"F";"Northeastern";;1973-07-09 00:00:00;"0000-00-00";20.447551135297427
"askamma01w";"C";"none";;1970-08-07 00:00:00;"0000-00-00";23.476808905380334
"atkinla01w";"G-F";"North Carolina";;1984-03-22 00:00:00;"0000-00-00";23.32484567901235
"atunrmo01w";"G-F";"Texas A&M";;1986-04-14 00:00:00;"0000-00-00";20.51612244897959
"augusse01w";"F";"Louisiana State";;1984-04-30 00:00:00;"0000-00-00";24.274112654320987
"aycocan01w";"G-F";"Kansas";;1973-02-28 00:00:00;"0000-00-00";22.08108108108108
"azizle01w";"F";"Syracuse";;1979-02-28 00:00:00;"0000-00-00";22.121066666666664
"azzije01w";"G";"Stanford";;1968-08-31 00:00:00;"0000-00-00";21.74070069204152
"badertr01w";"G";"Boise State";;1973-02-26 00:00:00;"0000-00-00";21.453857421875
"bakerla01w";"G";"California";;1968-12-18 00:00:00;"0000-00-00";21.924704834038764
"bakersh01w";"G";"Georgia";;1982-12-03 00:00:00;"0000-00-00";19.00410899653979
"balesal01w";"C";"Duke";;1985-04-04 00:00:00;"0000-00-00";24.55600064092293
"banchrh01w";"C";"Washington";;1973-05-01 00:00:00;"0000-00-00";23.120888888888892
"baranel01w";"F";"Academy of Sport Moscow";;1972-01-28 00:00:00;"0000-00-00";21.57969303423849
"barksla01w";"G";"North Carolina";;1979-10-03 00:00:00;"0000-00-00";22.38122448979592
"barnead01w";"F";"Arizona";;1977-02-03 00:00:00;"0000-00-00";23.01031541360841
"barnequ01w";"C";"Indiana";;1976-09-26 00:00:00;"0000-00-00";21.935402260077584
"bassmi01w";"F";"Duke";;1983-12-02 00:00:00;"0000-00-00";22.995911111111113
"batkosu01w";"C";;;1980-12-17 00:00:00;"0000-00-00";24.70723684210526
"batteja01w";"F";"Notre Dame";;1983-03-26 00:00:00;"0000-00-00";21.502908613248263
"battlas01w";"F";"Connecticut";;1982-05-31 00:00:00;"0000-00-00";23.053626543209877
"bauerca01w";"F-C";"Montana State";;1972-06-27 00:00:00;"0000-00-00";21.907894736842106
"beardal01w";"G-F";"Duke";;1982-05-14 00:00:00;"0000-00-00";22.313033128347552
"becenry01w";"G";"Arizona State";"Scottsdale CC (JC)";1971-08-11 00:00:00;"0000-00-00";22.594123048668507
