"playerID";"year";"stint";"tmID";"lgID";"GP";"GS";"minutes";"dq";"PostGP";"PostGS";"PostMinutes";"PostDQ";"playerScore";"postPlayerScore";"threeAccuracy";"PostThreeAccuracy"
"abrossv01w";2;0;"MIN";"WNBA";26;23;846;2;0;0;0;0;210.90000000000003;0.0;0.25;
"abrossv01w";3;0;"MIN";"WNBA";27;27;805;0;0;0;0;0;148.00000000000006;0.0;0.3333333333333333;
"abrossv01w";4;0;"MIN";"WNBA";30;25;792;0;3;3;69;0;199.09999999999997;8.2;0.3048780487804878;0.42857142857142855
"abrossv01w";5;0;"MIN";"WNBA";22;11;462;0;2;2;67;0;93.19999999999999;8.900000000000002;0.37735849056603776;0.25
"abrossv01w";6;0;"MIN";"WNBA";31;31;777;0;0;0;0;0;169.9;0.0;0.4024390243902439;
"abrossv01w";7;0;"MIN";"WNBA";34;2;724;0;0;0;0;0;159.99999999999997;0.0;0.36923076923076925;
"abrossv01w";8;0;"MIN";"WNBA";34;29;843;0;0;0;0;0;256.50000000000006;0.0;0.44554455445544555;
"abrossv01w";9;0;"CON";"WNBA";6;0;107;0;3;2;63;0;19.8;15.900000000000002;0.16666666666666666;0.0
"adamsjo01w";4;0;"MIN";"WNBA";10;0;96;0;0;0;0;0;18.900000000000006;0.0;0.4166666666666667;
"aguilel01w";3;0;"UTA";"WNBA";28;0;141;0;2;0;4;0;30.200000000000003;0.9999999999999999;0.5238095238095238;
"ajavoma01w";9;0;"HOU";"WNBA";34;2;604;1;0;0;0;0;122.90000000000003;0.0;0.19117647058823528;
"ajavoma01w";10;0;"WAS";"WNBA";34;4;587;1;2;0;34;0;126.60000000000002;13.399999999999997;0.34146341463414637;0.25
"aldrima01w";1;0;"WAS";"WNBA";29;0;272;0;2;0;49;0;32.0;12.0;0.5;0.0
"aldrima01w";2;0;"WAS";"WNBA";5;0;35;0;0;0;0;0;-1.3000000000000007;0.0;0.0;
"alhalta01w";2;0;"ORL";"WNBA";26;1;252;0;0;0;0;0;15.400000000000006;0.0;0.36363636363636365;
"allench01w";9;0;"SAC";"WNBA";6;0;49;0;2;0;3;0;5.300000000000001;-1.4;0.3333333333333333;
"amachma01w";2;0;"NYL";"WNBA";2;0;3;0;0;0;0;0;0.19999999999999973;0.0;;
"amachma01w";4;0;"SEA";"WNBA";7;0;47;0;0;0;0;0;3.3999999999999986;0.0;;
"amachma01w";6;0;"WAS";"WNBA";3;0;3;0;0;0;0;0;1.3;0.0;;
"ambermo01w";3;0;"SAC";"WNBA";2;0;4;0;0;0;0;0;-0.8;0.0;;
"anderam01w";7;1;"CON";"WNBA";1;0;1;0;0;0;0;0;0.6;0.0;;
"anderam01w";7;2;"NYL";"WNBA";3;0;9;0;0;0;0;0;0.30000000000000004;0.0;;
"anderch01w";4;0;"SAC";"WNBA";26;0;171;1;5;0;29;0;7.399999999999999;-0.20000000000000062;;
"anderch01w";5;0;"SAC";"WNBA";30;0;231;0;2;0;11;0;21.299999999999997;0.8999999999999999;;
"anderch01w";6;0;"SAS";"WNBA";34;19;669;5;0;0;0;0;74.99999999999997;0.0;;
"anderch01w";7;0;"SAS";"WNBA";23;20;414;0;0;0;0;0;97.2;0.0;;
"anderch01w";8;0;"SAS";"WNBA";11;1;86;0;2;0;5;0;22.0;0.7999999999999998;;
"anderjo01w";9;0;"CON";"WNBA";24;7;367;0;0;0;0;0;46.10000000000001;0.0;0.2318840579710145;
"anderke01w";1;0;"WAS";"WNBA";30;9;434;0;2;2;30;0;67.39999999999999;0.8999999999999995;0.375;
"anderke01w";2;0;"CHA";"WNBA";18;0;102;0;2;0;7;0;2.099999999999998;-0.4;0.0;0.0
"anderke01w";3;0;"CHA";"WNBA";7;0;31;0;0;0;0;0;1.3000000000000007;0.0;0.25;
"andrame01w";1;0;"CLE";"WNBA";32;18;797;1;6;5;166;0;196.50000000000006;6.699999999999999;0.36;0.0
"andrame01w";2;0;"CLE";"WNBA";32;32;893;0;3;3;72;0;120.19999999999999;1.700000000000001;0.2;0.5
"andrame01w";3;0;"CLE";"WNBA";32;16;665;2;0;0;0;0;54.79999999999998;0.0;0.19230769230769232;
"andrame01w";5;0;"CHA";"WNBA";12;0;65;0;0;0;0;0;4.699999999999999;0.0;0.0;
"anosini01w";9;0;"MIN";"WNBA";34;34;920;2;0;0;0;0;320.50000000000006;0.0;0.0;
"anosini01w";10;0;"MIN";"WNBA";30;29;896;1;0;0;0;0;395.8;0.0;0.25;
"arcaija01w";1;0;"HOU";"WNBA";32;32;977;1;6;6;201;0;202.10000000000005;32.4;0.2;0.2857142857142857
"arcaija01w";2;0;"HOU";"WNBA";32;32;1154;1;2;2;71;0;388.00000000000006;13.000000000000007;0.3333333333333333;0.125
"arcaija01w";3;0;"HOU";"WNBA";32;32;1116;0;3;3;119;0;278.0;23.300000000000004;0.2702702702702703;0.2857142857142857
"arcaija01w";4;0;"HOU";"WNBA";34;34;1136;0;3;3;107;0;280.99999999999994;27.4;0.24324324324324326;0.2
"arcaija01w";6;0;"HOU";"WNBA";34;34;1079;0;5;5;138;0;218.2;36.900000000000006;0.1875;0.0
"askamma01w";1;0;"MIA";"WNBA";32;32;869;0;0;0;0;0;196.60000000000002;0.0;0.5;
"askamma01w";2;0;"MIA";"WNBA";30;11;431;0;0;0;0;0;65.50000000000001;0.0;;
"askamma01w";3;2;"LAS";"WNBA";20;4;215;0;4;3;24;0;50.8;-1.8000000000000003;0.0;
"askamma01w";3;1;"MIA";"WNBA";6;1;72;0;0;0;0;0;7.299999999999997;0.0;;
"atkinla01w";7;0;"IND";"WNBA";33;1;417;0;2;0;29;0;68.19999999999999;10.5;0.29411764705882354;
"atkinla01w";8;0;"SAC";"WNBA";28;0;226;0;2;0;7;0;35.3;-1.4;0.0;
"atkinla01w";9;0;"SAC";"WNBA";5;1;73;0;0;0;0;0;9.799999999999997;0.0;0.0;
"atkinla01w";10;0;"SEA";"WNBA";2;1;46;0;0;0;0;0;15.8;0.0;0.0;
"atunrmo01w";9;0;"SAS";"WNBA";33;0;348;0;8;0;44;0;45.29999999999998;9.200000000000001;0.2926829268292683;0.5
"augusse01w";7;0;"MIN";"WNBA";34;34;1124;0;0;0;0;0;435.2;0.0;0.35294117647058826;
"augusse01w";8;0;"MIN";"WNBA";34;34;1093;0;0;0;0;0;530.9;0.0;0.41935483870967744;
"augusse01w";9;0;"MIN";"WNBA";31;31;1042;0;0;0;0;0;407.10000000000014;0.0;0.31746031746031744;
"augusse01w";10;0;"MIN";"WNBA";6;6;178;0;0;0;0;0;99.1;0.0;0.6428571428571429;
"aycocan01w";1;2;"MIN";"WNBA";3;0;6;0;0;0;0;0;3.3;0.0;;
"aycocan01w";1;1;"SEA";"WNBA";1;0;7;0;0;0;0;0;-1.8999999999999997;0.0;0.0;
"azizle01w";4;0;"IND";"WNBA";7;0;44;0;0;0;0;0;3.0;0.0;;
"azzije01w";1;0;"UTA";"WNBA";15;15;559;0;0;0;0;0;137.8;0.0;0.4166666666666667;
"azzije01w";2;0;"UTA";"WNBA";32;32;1205;1;2;2;75;0;251.5;3.5999999999999996;0.5135135135135135;0.2857142857142857
"azzije01w";3;0;"UTA";"WNBA";32;32;1151;0;5;5;186;0;261.69999999999993;41.7;0.44565217391304346;0.3684210526315789
"azzije01w";4;0;"SAS";"WNBA";34;34;1136;2;0;0;0;0;182.80000000000007;0.0;0.4020618556701031;
"badertr01w";1;0;"CLE";"WNBA";25;0;201;0;5;0;36;0;31.900000000000013;4.099999999999999;0.3333333333333333;0.6666666666666666
