"year";"tmID";"rank";"playoff";"firstRound";"semis";"finals";"teams_score";"winRatio";"postWinRatio"
9;"ATL";7;"false";"false";"false";"false";2468.7000000000003;0.1111111111111111;
10;"ATL";2;"true";"false";"false";"false";3007.8999999999996;0.5;0.0
1;"CHA";8;"false";"false";"false";"false";2243.0;0.24528301886792453;
2;"CHA";4;"true";"true";"true";"false";2153.3;0.6226415094339622;0.5
3;"CHA";2;"true";"false";"false";"false";2312.5999999999995;0.5660377358490566;0.0
4;"CHA";2;"true";"false";"false";"false";2340.2;0.5172413793103449;0.0
5;"CHA";5;"false";"false";"false";"false";2035.2000000000003;0.4444444444444444;
6;"CHA";6;"false";"false";"false";"false";2094.6;0.18518518518518517;
7;"CHA";6;"false";"false";"false";"false";2439.5;0.3148148148148148;
7;"CHI";7;"false";"false";"false";"false";2418.7000000000003;0.16666666666666666;
8;"CHI";6;"false";"false";"false";"false";2673.0000000000005;0.37037037037037035;
9;"CHI";5;"false";"false";"false";"false";2497.3;0.4074074074074074;
10;"CHI";5;"false";"false";"false";"false";2644.5;0.4642857142857143;
1;"CLE";2;"true";"true";"false";"false";2286.2;0.5660377358490566;0.5
2;"CLE";1;"true";"false";"false";"false";2219.899999999999;0.6981132075471698;0.3333333333333333
3;"CLE";7;"false";"false";"false";"false";2170.9999999999995;0.32075471698113206;
4;"CLE";4;"true";"false";"false";"false";2308.8;0.5172413793103449;0.3333333333333333
4;"CON";3;"true";"true";"false";"false";2556.1;0.5;0.5
5;"CON";1;"true";"true";"true";"false";2591.6;0.5925925925925926;0.625
6;"CON";1;"true";"true";"true";"true";2636.9;0.7222222222222222;0.625
7;"CON";1;"true";"true";"false";"false";2967.4;0.7592592592592593;0.6
8;"CON";3;"true";"false";"false";"false";2962.1999999999994;0.5185185185185185;0.3333333333333333
9;"CON";2;"true";"false";"false";"false";2831.5000000000005;0.6296296296296297;0.3333333333333333
10;"CON";6;"false";"false";"false";"false";2883.7999999999997;0.4642857142857143;
1;"DET";5;"false";"false";"false";"false";2321.1999999999994;0.4528301886792453;
2;"DET";7;"false";"false";"false";"false";2177.1;0.32075471698113206;
3;"DET";8;"false";"false";"false";"false";2096.5;0.2830188679245283;
4;"DET";1;"true";"true";"true";"true";2477.3;0.7413793103448276;0.75
5;"DET";3;"true";"false";"false";"false";2466.9999999999995;0.5185185185185185;0.3333333333333333
6;"DET";4;"true";"false";"false";"false";2149.4999999999995;0.5;0.0
7;"DET";2;"true";"true";"true";"true";2589.1000000000004;0.6851851851851852;0.7
8;"DET";1;"true";"true";"true";"false";2698.5;0.7037037037037037;0.5454545454545454
9;"DET";1;"true";"true";"true";"true";2868.4000000000005;0.7037037037037037;0.7777777777777778
10;"DET";3;"true";"true";"false";"false";2718.5;0.5178571428571429;0.6
1;"HOU";2;"true";"true";"true";"true";2656.400000000001;0.8301886792452831;1.0
2;"HOU";4;"true";"false";"false";"false";2243.0000000000005;0.6037735849056604;0.0
3;"HOU";2;"true";"false";"false";"false";2232.0999999999995;0.7547169811320755;0.3333333333333333
4;"HOU";2;"true";"false";"false";"false";2371.2;0.5862068965517241;0.3333333333333333
5;"HOU";6;"false";"false";"false";"false";2240.5;0.35714285714285715;
6;"HOU";3;"true";"true";"false";"false";2369.8;0.5357142857142857;0.4
7;"HOU";3;"true";"false";"false";"false";2498.6;0.5370370370370371;0.0
8;"HOU";5;"false";"false";"false";"false";2539.4;0.4107142857142857;
9;"HOU";5;"false";"false";"false";"false";2599.8;0.5;
1;"IND";7;"false";"false";"false";"false";2296.7999999999997;0.3018867924528302;
2;"IND";6;"false";"false";"false";"false";2196.7000000000003;0.32075471698113206;
3;"IND";4;"true";"false";"false";"false";2237.7000000000003;0.5283018867924528;0.3333333333333333
4;"IND";5;"false";"false";"false";"false";2586.7;0.4827586206896552;
5;"IND";6;"false";"false";"false";"false";2454.1000000000004;0.42592592592592593;
6;"IND";2;"true";"true";"false";"false";2354.3;0.6481481481481481;0.5
7;"IND";3;"true";"false";"false";"false";2586.2;0.6111111111111112;0.0
8;"IND";2;"true";"true";"false";"false";2609.7999999999997;0.6111111111111112;0.5
9;"IND";4;"true";"false";"false";"false";2562.5;0.5370370370370371;0.3333333333333333
10;"IND";1;"true";"true";"true";"false";2744.6000000000004;0.6964285714285714;0.6
1;"LAS";1;"true";"true";"false";"false";2567.5;0.8490566037735849;0.5
2;"LAS";1;"true";"true";"true";"true";2794.0;0.8867924528301887;0.8571428571428571
3;"LAS";1;"true";"true";"true";"true";2613.5;0.7924528301886793;1.0
4;"LAS";1;"true";"true";"true";"false";2684.3999999999996;0.7068965517241379;0.5555555555555556
5;"LAS";1;"true";"false";"false";"false";2568.7999999999993;0.7321428571428571;0.3333333333333333
